Kind,Min_Length,Max_Length,Repetition,Sum of Absolute Values,Mean Value,Standard Deviation,Shannon Entropy,Maximum Value,Minimum Value,Kmeans Threshold_A,Kmeans Threshold_B,Kmeans Nodes A Exceeding Treshhold = 1,Kmeans Nodes B Exceeding Treshhold = 1,Total Nodes = 1,count_11,count_00,count_mixed,Overlap % with zeroes,Overlap % no zeroes,Sum of min
GRU,10,10,28,11.789,0.4912,0.3868,3.4594,0.9719,0.0,0.5993,0.4452,5,6,11,0,1,11,0.0,0.0,1.9829
GRU,10,10,29,12.0092,0.4997,0.3715,3.585,0.9997,-0.0082,0.5053,0.4809,7,5,12,1,1,10,0.0909,0.1,2.6834
GRU,10,10,30,12.8836,0.5368,0.3791,3.4594,0.9963,0.0,0.6162,0.5111,5,6,11,2,3,7,0.2,0.2857,3.0704
GRUA,10,10,0,6.1854,0.2556,0.2066,3.1699,0.6153,-0.0127,0.2291,0.3672,4,5,9,0,3,9,0.0,0.0,1.3427
GRUA,10,10,1,2.2334,0.0624,0.1188,3.4594,0.315,-0.0835,0.1504,-0.0057,5,12,17,2,3,7,0.2,0.2857,0.1334
GRUA,10,10,2,4.1572,0.1584,0.207,3.0,0.4823,-0.0488,0.2061,0.2563,5,3,8,0,4,8,0.0,0.0,0.3976
GRUA,10,10,3,6.525,0.192,0.3488,3.4594,0.8824,-0.1269,0.3915,-0.0277,7,12,19,1,2,9,0.0909,0.1111,0.0286
GRUA,10,10,4,1.6034,0.0341,0.0846,3.7004,0.1816,-0.0859,-0.03,0.0913,12,6,18,2,1,9,0.2,0.2222,0.057
GRUA,10,10,5,2.4576,0.1024,0.1484,2.585,0.4146,0.0,0.0339,0.2421,2,4,6,0,6,6,0.0,0.0,0.1821
GRUA,10,10,6,1.9093,0.0766,0.0695,3.8074,0.1731,-0.0175,0.077,0.0383,10,4,14,4,2,6,0.5,0.6667,0.3533
GRUA,10,10,7,2.3555,0.0952,0.1273,3.7004,0.3538,-0.0258,0.0151,0.1343,5,8,13,3,2,7,0.3333,0.4286,0.1091
GRUA,10,10,8,1.7827,0.0737,0.0599,3.3219,0.1709,-0.0036,0.0955,0.0685,4,6,10,3,5,4,0.3333,0.75,0.5059
GRUA,10,10,9,0.9114,0.038,0.0257,3.9069,0.1028,0.0,0.016,0.0579,11,4,15,4,1,7,0.5,0.5714,0.3193
GRUA,10,10,10,10.0787,0.4199,0.3239,3.3219,0.9916,0.0,0.6273,0.3272,4,6,10,0,2,10,0.0,0.0,1.837
GRUA,10,10,11,3.7545,0.1503,0.2143,3.0,0.5893,-0.0097,0.2942,0.0339,6,2,8,0,4,8,0.0,0.0,0.0513
GRUA,10,10,12,2.7041,0.0061,0.1254,3.7004,0.1527,-0.1644,0.0444,-0.0474,8,12,20,2,1,9,0.2,0.2222,0.0
